"StichtagDatJahr","HundenameText","GebDatHundJahr","SexHundCd","SexHundLang","SexHundSort","AnzHunde"
2015,"Bambi",2005,"1","männlich",1,1
2015,"Bambi (Naomi)",2006,"2","weiblich",2,1
2015,"Bambino",2015,"1","männlich",1,1
2015,"Bamble Bee (Taiga)",2010,"2","weiblich",2,1
2015,"Bamboo",2004,"1","männlich",1,1
2015,"Bamboo Gold",2009,"1","männlich",1,1
2015,"Banana",2003,"2","weiblich",2,1
2015,"Bancho",2004,"1","männlich",1,1
2015,"Banchun",2012,"1","männlich",1,1
2015,"Bandit",2005,"1","männlich",1,1
2015,"Bandita",2009,"2","weiblich",2,1
2015,"Banga",2012,"1","männlich",1,1
2015,"Bango (Luna)",2007,"2","weiblich",2,1
2015,"Banja",2002,"1","männlich",1,1
2015,"Banjo",2003,"1","männlich",1,1
2015,"Banu",2013,"2","weiblich",2,1
2015,"Barabas",2005,"1","männlich",1,1
2015,"Barfi",2012,"1","männlich",1,1
2015,"Barholomeus",2004,"1","männlich",1,1
2015,"Baris-Lesli",2012,"1","männlich",1,1
2015,"Barney",2012,"1","männlich",1,2
2015,"Barney (Leo vom Ammeler)",2011,"1","männlich",1,1
2015,"Baron",2003,"1","männlich",1,1
2015,"Baron",2008,"1","männlich",1,1
2015,"Baronessa",2012,"2","weiblich",2,1
2015,"Barry aus dem Dudelsack",2011,"1","männlich",1,1
2015,"Bartok",2012,"1","männlich",1,1
2015,"Barzoi",2006,"1","männlich",1,1
2015,"Baschi",2004,"1","männlich",1,1
2015,"Baschi",2006,"1","männlich",1,1
2015,"Basco",2014,"1","männlich",1,1
2015,"Basheera von Camelot",2012,"2","weiblich",2,1
2015,"Bashira",2005,"2","weiblich",2,1
2015,"Bashkim",2002,"1","männlich",1,1
2015,"Basho",2005,"1","männlich",1,1
2015,"Basil",2006,"1","männlich",1,1
2015,"Basil",2009,"1","männlich",1,2
2015,"Basil (Best)",2006,"1","männlich",1,1
2015,"Baska",2007,"2","weiblich",2,1
2015,"Baslis Hermes vom Moosacher",2011,"1","männlich",1,1
2015,"Bass",2011,"1","männlich",1,1
2015,"Basti",2007,"1","männlich",1,1
2015,"Bastille",2002,"2","weiblich",2,1
2015,"Batista (Esö)",2007,"1","männlich",1,1
2015,"Batman",2013,"1","männlich",1,1
2015,"Bator",2009,"1","männlich",1,1
2015,"Baxy",2013,"1","männlich",1,1
2015,"Bay",2006,"2","weiblich",2,1
2015,"Baylis",2005,"2","weiblich",2,1
2015,"Bea",2009,"2","weiblich",2,1
2015,"Beans",2006,"1","männlich",1,1
2015,"Bearly v. Weinhäusel",2013,"2","weiblich",2,1
2015,"Beatrice",2010,"2","weiblich",2,1
2015,"Beau",2009,"1","männlich",1,1
2015,"Beeny",2015,"2","weiblich",2,1
2015,"Beija",2013,"2","weiblich",2,1
2015,"Bekas",2011,"1","männlich",1,1
2015,"Bel Ami",2005,"1","männlich",1,1
2015,"Bela",2010,"2","weiblich",2,1
2015,"Belette",2006,"2","weiblich",2,1
2015,"Belinda",2014,"2","weiblich",2,1
2015,"Belinha",2011,"2","weiblich",2,1
2015,"Belka",2014,"2","weiblich",2,1
2015,"Bella",2001,"2","weiblich",2,1
2015,"Bella",2002,"2","weiblich",2,2
2015,"Bella",2007,"2","weiblich",2,1
2015,"Bella",2008,"2","weiblich",2,1
2015,"Bella",2009,"2","weiblich",2,1
2015,"Bella",2010,"2","weiblich",2,3
2015,"Bella",2011,"2","weiblich",2,2
2015,"Bella",2012,"2","weiblich",2,2
2015,"Bella",2013,"2","weiblich",2,6
2015,"Bella",2014,"2","weiblich",2,2
2015,"Bella",2015,"2","weiblich",2,2
2015,"Bella (Belka)",2007,"2","weiblich",2,1
2015,"Bella (Belleza)",2004,"2","weiblich",2,1
2015,"Bella mia",2014,"2","weiblich",2,1
2015,"Bella von der Moorheide",2011,"2","weiblich",2,1
2015,"Belle",2011,"2","weiblich",2,1
2015,"Bellino",2012,"1","männlich",1,1
2015,"Bello",2008,"1","männlich",1,1
2015,"Bello",2014,"1","männlich",1,1
2015,"Bello Erole",2007,"1","männlich",1,1
2015,"Beloved Rascy",2012,"1","männlich",1,1
2015,"Belucca",2004,"2","weiblich",2,1
2015,"Beluga",2004,"2","weiblich",2,1
2015,"Beluga",2012,"2","weiblich",2,1
2015,"Ben",1999,"1","männlich",1,1
2015,"Ben",2002,"1","männlich",1,1
2015,"Ben",2007,"1","männlich",1,1
2015,"Ben",2011,"1","männlich",1,1
2015,"Ben",2012,"1","männlich",1,1
2015,"Benedetta vom Himmelsruh",2013,"2","weiblich",2,1
2015,"Benfica",2014,"1","männlich",1,1
2015,"Bengale",2010,"2","weiblich",2,1
2015,"Beni",2003,"1","männlich",1,1
2015,"Beni",2005,"2","weiblich",2,1
2015,"Beni",2009,"1","männlich",1,1
2015,"Beni",2013,"2","weiblich",2,1
2015,"Benicia",2006,"2","weiblich",2,1
2015,"Benii Ken's Daitoshi",2014,"1","männlich",1,1
2015,"Benito",2012,"1","männlich",1,1
2015,"Benja",2009,"2","weiblich",2,1
2015,"Benjamin",2012,"1","männlich",1,1
2015,"Benji",1996,"1","männlich",1,1
2015,"Benji",2002,"1","männlich",1,1
